rank,organizationName,state,studentPopulation,campusSetting,medianBaseSalary,city,state,region,yearFounded,stateCode,collegeType,studentFacultyRatio,totalStudentPop,undergradPop,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
195,Creighton University,NE,10225,Urban,107300,Omaha,Nebraska,Midwest,1878,NE,Private not-for-profit,12,10225,4876,25779810,100,100
196,Mount Holyoke College,MA,2504,Suburban,111100,South Hadley,Massachusetts,Northeast,1837,MA,Private not-for-profit,9,2504,2326,13827541,74,72
197,University of San Francisco,CA,12171,Urban,123900,San Francisco,California,West,1855,CA,Private not-for-profit,12,12171,7173,30904033,90,90
198,"University of Massachusetts, Amherst",MA,35781,Suburban,114500,Amherst,Massachusetts,Northeast,1863,MA,Public,17,35781,27365,50268332,90,81
199,Whitman College,WA,1677,Urban,127300,Walla Walla,Washington,West,1882,WA,Private not-for-profit,8,1677,1677,11606520,91,89
200,University of Kentucky,KY,32756,Urban,104400,Lexington,Kentucky,South,1865,KY,Public,16,32756,24633,57761910,95,93
201,DePauw University,IN,1998,Rural,124600,Greencastle,Indiana,Midwest,1837,IN,Private not-for-profit,8,1998,1998,15366897,99,99
202,Macalester College,MN,2118,Urban,111900,St. Paul,Minnesota,Midwest,1874,MN,Private not-for-profit,10,2118,2118,15001428,85,84
203,Saint Louis University,MO,14756,Urban,109100,St. Louis,Missouri,Midwest,1818,MO,Private not-for-profit,9,14756,9802,64544919,98,98
204,"CUNY, Brooklyn College",NY,21566,Urban,108000,Brooklyn,New York,Northeast,1930,NY,Public,17,21566,17946,16268086,91,91
205,Temple University,PA,42075,Urban,102900,Philadelphia,Pennsylvania,Northeast,1884,PA,Public,13,42075,30861,47265447,91,86
